Review,Liked,Bert_Loss,Bert_Logits,Bert_Labels,RoBerta_Loss,RoBerta_Logits,RoBert_Labels,Albert_Loss,Albert_Logits,Albert_Labels
Service was very prompt.,1,"tensor(0.4229, grad_fn=<NllLossBackward>)","tensor([[0.2177, 0.8593]], grad_fn=<AddmmBackward>)",1,"tensor(0.7426, grad_fn=<NllLossBackward>)","tensor([[-0.0110, -0.1076]], grad_fn=<AddmmBackward>)",0,"tensor(0.5227, grad_fn=<NllLossBackward>)","tensor([[-0.2456,  0.1304]], grad_fn=<AddmmBackward>)",1
Would not go back.,0,"tensor(1.1393, grad_fn=<NllLossBackward>)","tensor([[0.2016, 0.9552]], grad_fn=<AddmmBackward>)",1,"tensor(0.6453, grad_fn=<NllLossBackward>)","tensor([[-0.0147, -0.1129]], grad_fn=<AddmmBackward>)",0,"tensor(0.9694, grad_fn=<NllLossBackward>)","tensor([[-0.1426,  0.3499]], grad_fn=<AddmmBackward>)",1
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,"tensor(0.9725, grad_fn=<NllLossBackward>)","tensor([[0.1890, 0.6865]], grad_fn=<AddmmBackward>)",1,"tensor(0.6397, grad_fn=<NllLossBackward>)","tensor([[-0.0077, -0.1177]], grad_fn=<AddmmBackward>)",0,"tensor(1.0420, grad_fn=<NllLossBackward>)","tensor([[-0.0986,  0.5083]], grad_fn=<AddmmBackward>)",1
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,"tensor(0.4994, grad_fn=<NllLossBackward>)","tensor([[0.2889, 0.7231]], grad_fn=<AddmmBackward>)",1,"tensor(0.7373, grad_fn=<NllLossBackward>)","tensor([[ 0.0035, -0.0829]], grad_fn=<AddmmBackward>)",0,"tensor(0.4816, grad_fn=<NllLossBackward>)","tensor([[-0.0992,  0.3810]], grad_fn=<AddmmBackward>)",1
I was disgusted because I was pretty sure that was human hair.,0,"tensor(0.8627, grad_fn=<NllLossBackward>)","tensor([[0.2944, 0.6088]], grad_fn=<AddmmBackward>)",1,"tensor(0.6365, grad_fn=<NllLossBackward>)","tensor([[-0.0131, -0.1299]], grad_fn=<AddmmBackward>)",0,"tensor(0.9274, grad_fn=<NllLossBackward>)","tensor([[-0.0598,  0.3642]], grad_fn=<AddmmBackward>)",1
I was shocked because no signs indicate cash only.,0,"tensor(1.0357, grad_fn=<NllLossBackward>)","tensor([[0.1681, 0.7653]], grad_fn=<AddmmBackward>)",1,"tensor(0.6369, grad_fn=<NllLossBackward>)","tensor([[-0.0006, -0.1163]], grad_fn=<AddmmBackward>)",0,"tensor(0.8776, grad_fn=<NllLossBackward>)","tensor([[-0.0836,  0.2565]], grad_fn=<AddmmBackward>)",1
Highly recommended.,1,"tensor(0.4493, grad_fn=<NllLossBackward>)","tensor([[0.2482, 0.8153]], grad_fn=<AddmmBackward>)",1,"tensor(0.7455, grad_fn=<NllLossBackward>)","tensor([[-0.0130, -0.1151]], grad_fn=<AddmmBackward>)",0,"tensor(0.4600, grad_fn=<NllLossBackward>)","tensor([[-0.2122,  0.3255]], grad_fn=<AddmmBackward>)",1
Waitress was a little slow in service.,0,"tensor(0.9696, grad_fn=<NllLossBackward>)","tensor([[0.1858, 0.6786]], grad_fn=<AddmmBackward>)",1,"tensor(0.6435, grad_fn=<NllLossBackward>)","tensor([[-0.0064, -0.1082]], grad_fn=<AddmmBackward>)",0,"tensor(0.9280, grad_fn=<NllLossBackward>)","tensor([[-0.0732,  0.3517]], grad_fn=<AddmmBackward>)",1
"This place is not worth your time, let alone Vegas.",0,"tensor(1.0467, grad_fn=<NllLossBackward>)","tensor([[0.2592, 0.8735]], grad_fn=<AddmmBackward>)",1,"tensor(0.6411, grad_fn=<NllLossBackward>)","tensor([[-0.0078, -0.1147]], grad_fn=<AddmmBackward>)",0,"tensor(0.9521, grad_fn=<NllLossBackward>)","tensor([[-0.1665,  0.2980]], grad_fn=<AddmmBackward>)",1
did not like at all.,0,"tensor(1.0563, grad_fn=<NllLossBackward>)","tensor([[0.2487, 0.8777]], grad_fn=<AddmmBackward>)",1,"tensor(0.6417, grad_fn=<NllLossBackward>)","tensor([[-0.0059, -0.1115]], grad_fn=<AddmmBackward>)",0,"tensor(0.8890, grad_fn=<NllLossBackward>)","tensor([[-0.1457,  0.2139]], grad_fn=<AddmmBackward>)",1
The Burrittos Blah!,0,"tensor(0.6618, grad_fn=<NllLossBackward>)","tensor([[0.5154, 0.4517]], grad_fn=<AddmmBackward>)",0,"tensor(0.6557, grad_fn=<NllLossBackward>)","tensor([[-0.0021, -0.0784]], grad_fn=<AddmmBackward>)",0,"tensor(0.8884, grad_fn=<NllLossBackward>)","tensor([[-0.1213,  0.2373]], grad_fn=<AddmmBackward>)",1
"The food, amazing.",1,"tensor(0.4662, grad_fn=<NllLossBackward>)","tensor([[0.2563, 0.7773]], grad_fn=<AddmmBackward>)",1,"tensor(0.7447, grad_fn=<NllLossBackward>)","tensor([[-0.0147, -0.1152]], grad_fn=<AddmmBackward>)",0,"tensor(0.5396, grad_fn=<NllLossBackward>)","tensor([[-0.1163,  0.2187]], grad_fn=<AddmmBackward>)",1
Service is also cute.,1,"tensor(0.4736, grad_fn=<NllLossBackward>)","tensor([[0.2197, 0.7210]], grad_fn=<AddmmBackward>)",1,"tensor(0.7481, grad_fn=<NllLossBackward>)","tensor([[-0.0134, -0.1204]], grad_fn=<AddmmBackward>)",0,"tensor(0.4595, grad_fn=<NllLossBackward>)","tensor([[-0.2067,  0.3323]], grad_fn=<AddmmBackward>)",1
I could care less... The interior is just beautiful.,1,"tensor(0.4133, grad_fn=<NllLossBackward>)","tensor([[0.1394, 0.8092]], grad_fn=<AddmmBackward>)",1,"tensor(0.7507, grad_fn=<NllLossBackward>)","tensor([[-0.0096, -0.1216]], grad_fn=<AddmmBackward>)",0,"tensor(0.5061, grad_fn=<NllLossBackward>)","tensor([[-0.0813,  0.3361]], grad_fn=<AddmmBackward>)",1
So they performed.,1,"tensor(0.4262, grad_fn=<NllLossBackward>)","tensor([[0.2470, 0.8792]], grad_fn=<AddmmBackward>)",1,"tensor(0.7312, grad_fn=<NllLossBackward>)","tensor([[-0.0049, -0.0795]], grad_fn=<AddmmBackward>)",0,"tensor(0.4903, grad_fn=<NllLossBackward>)","tensor([[-0.2262,  0.2313]], grad_fn=<AddmmBackward>)",1
That's right....the red velvet cake.....ohhh this stuff is so good.,1,"tensor(0.4421, grad_fn=<NllLossBackward>)","tensor([[0.1932, 0.7802]], grad_fn=<AddmmBackward>)",1,"tensor(0.7574, grad_fn=<NllLossBackward>)","tensor([[-0.0103, -0.1349]], grad_fn=<AddmmBackward>)",0,"tensor(0.4698, grad_fn=<NllLossBackward>)","tensor([[-0.1362,  0.3753]], grad_fn=<AddmmBackward>)",1
- They never brought a salad we asked for.,0,"tensor(0.9643, grad_fn=<NllLossBackward>)","tensor([[0.2810, 0.7653]], grad_fn=<AddmmBackward>)",1,"tensor(0.6380, grad_fn=<NllLossBackward>)","tensor([[-0.0018, -0.1155]], grad_fn=<AddmmBackward>)",0,"tensor(0.9371, grad_fn=<NllLossBackward>)","tensor([[-0.0060,  0.4339]], grad_fn=<AddmmBackward>)",1
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,"tensor(0.5691, grad_fn=<NllLossBackward>)","tensor([[0.3713, 0.6369]], grad_fn=<AddmmBackward>)",1,"tensor(0.7526, grad_fn=<NllLossBackward>)","tensor([[-0.0056, -0.1211]], grad_fn=<AddmmBackward>)",0,"tensor(0.4868, grad_fn=<NllLossBackward>)","tensor([[-0.1557,  0.3111]], grad_fn=<AddmmBackward>)",1
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,"tensor(0.9880, grad_fn=<NllLossBackward>)","tensor([[0.1712, 0.6934]], grad_fn=<AddmmBackward>)",1,"tensor(0.6355, grad_fn=<NllLossBackward>)","tensor([[ 0.0063, -0.1125]], grad_fn=<AddmmBackward>)",0,"tensor(0.9027, grad_fn=<NllLossBackward>)","tensor([[0.0552, 0.4379]], grad_fn=<AddmmBackward>)",1
The worst was the salmon sashimi.,0,"tensor(0.8892, grad_fn=<NllLossBackward>)","tensor([[0.3161, 0.6760]], grad_fn=<AddmmBackward>)",1,"tensor(0.6373, grad_fn=<NllLossBackward>)","tensor([[-0.0085, -0.1235]], grad_fn=<AddmmBackward>)",0,"tensor(1.0271, grad_fn=<NllLossBackward>)","tensor([[-0.2160,  0.3679]], grad_fn=<AddmmBackward>)",1
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,"tensor(0.4705, grad_fn=<NllLossBackward>)","tensor([[0.2466, 0.7560]], grad_fn=<AddmmBackward>)",1,"tensor(0.7538, grad_fn=<NllLossBackward>)","tensor([[-7.1011e-05, -1.1794e-01]], grad_fn=<AddmmBackward>)",0,"tensor(0.4824, grad_fn=<NllLossBackward>)","tensor([[-0.1328,  0.3452]], grad_fn=<AddmmBackward>)",1
This was like the final blow!,0,"tensor(0.7371, grad_fn=<NllLossBackward>)","tensor([[0.4767, 0.5628]], grad_fn=<AddmmBackward>)",1,"tensor(0.6464, grad_fn=<NllLossBackward>)","tensor([[ 0.0020, -0.0938]], grad_fn=<AddmmBackward>)",0,"tensor(0.9455, grad_fn=<NllLossBackward>)","tensor([[-0.1769,  0.2769]], grad_fn=<AddmmBackward>)",1
I found this place by accident and I could not be happier.,1,"tensor(0.4252, grad_fn=<NllLossBackward>)","tensor([[0.2277, 0.8629]], grad_fn=<AddmmBackward>)",1,"tensor(0.7483, grad_fn=<NllLossBackward>)","tensor([[-0.0135, -0.1209]], grad_fn=<AddmmBackward>)",0,"tensor(0.4624, grad_fn=<NllLossBackward>)","tensor([[-0.1092,  0.4221]], grad_fn=<AddmmBackward>)",1
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,"tensor(1.0106, grad_fn=<NllLossBackward>)","tensor([[0.2463, 0.8044]], grad_fn=<AddmmBackward>)",1,"tensor(0.6338, grad_fn=<NllLossBackward>)","tensor([[-0.0003, -0.1228]], grad_fn=<AddmmBackward>)",0,"tensor(1.0303, grad_fn=<NllLossBackward>)","tensor([[-0.1797,  0.4092]], grad_fn=<AddmmBackward>)",1
"Overall, I like this place a lot.",1,"tensor(0.4612, grad_fn=<NllLossBackward>)","tensor([[0.1896, 0.7241]], grad_fn=<AddmmBackward>)",1,"tensor(0.7575, grad_fn=<NllLossBackward>)","tensor([[-0.0110, -0.1359]], grad_fn=<AddmmBackward>)",0,"tensor(0.5162, grad_fn=<NllLossBackward>)","tensor([[-0.1490,  0.2431]], grad_fn=<AddmmBackward>)",1
The only redeeming quality of the restaurant was that it was very inexpensive.,1,"tensor(0.4082, grad_fn=<NllLossBackward>)","tensor([[0.1580, 0.8430]], grad_fn=<AddmmBackward>)",1,"tensor(0.7502, grad_fn=<NllLossBackward>)","tensor([[-0.0135, -0.1246]], grad_fn=<AddmmBackward>)",0,"tensor(0.4760, grad_fn=<NllLossBackward>)","tensor([[-0.1279,  0.3670]], grad_fn=<AddmmBackward>)",1
Ample portions and good prices.,1,"tensor(0.4220, grad_fn=<NllLossBackward>)","tensor([[0.2094, 0.8539]], grad_fn=<AddmmBackward>)",1,"tensor(0.7416, grad_fn=<NllLossBackward>)","tensor([[-0.0130, -0.1077]], grad_fn=<AddmmBackward>)",0,"tensor(0.5166, grad_fn=<NllLossBackward>)","tensor([[-0.2551,  0.1361]], grad_fn=<AddmmBackward>)",1
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,"tensor(0.9893, grad_fn=<NllLossBackward>)","tensor([[0.2162, 0.7405]], grad_fn=<AddmmBackward>)",1,"tensor(0.6386, grad_fn=<NllLossBackward>)","tensor([[-0.0087, -0.1211]], grad_fn=<AddmmBackward>)",0,"tensor(1.0015, grad_fn=<NllLossBackward>)","tensor([[-0.0720,  0.4716]], grad_fn=<AddmmBackward>)",1
My first visit to Hiro was a delight!,1,"tensor(0.4707, grad_fn=<NllLossBackward>)","tensor([[0.2476, 0.7564]], grad_fn=<AddmmBackward>)",1,"tensor(0.7383, grad_fn=<NllLossBackward>)","tensor([[-0.0050, -0.0934]], grad_fn=<AddmmBackward>)",0,"tensor(0.5267, grad_fn=<NllLossBackward>)","tensor([[-0.0436,  0.3228]], grad_fn=<AddmmBackward>)",1
Service sucks.,0,"tensor(0.9830, grad_fn=<NllLossBackward>)","tensor([[0.2602, 0.7745]], grad_fn=<AddmmBackward>)",1,"tensor(0.6546, grad_fn=<NllLossBackward>)","tensor([[-0.0043, -0.0829]], grad_fn=<AddmmBackward>)",0,"tensor(0.9863, grad_fn=<NllLossBackward>)","tensor([[-0.3219,  0.1977]], grad_fn=<AddmmBackward>)",1
The shrimp tender and moist.,1,"tensor(0.5032, grad_fn=<NllLossBackward>)","tensor([[0.3356, 0.7603]], grad_fn=<AddmmBackward>)",1,"tensor(0.7523, grad_fn=<NllLossBackward>)","tensor([[ 0.0009, -0.1142]], grad_fn=<AddmmBackward>)",0,"tensor(0.4857, grad_fn=<NllLossBackward>)","tensor([[-0.1565,  0.3130]], grad_fn=<AddmmBackward>)",1
There is not a deal good enough that would drag me into that establishment again.,0,"tensor(0.8528, grad_fn=<NllLossBackward>)","tensor([[0.3647, 0.6619]], grad_fn=<AddmmBackward>)",1,"tensor(0.6425, grad_fn=<NllLossBackward>)","tensor([[-0.0145, -0.1186]], grad_fn=<AddmmBackward>)",0,"tensor(1.0244, grad_fn=<NllLossBackward>)","tensor([[-0.2068,  0.3728]], grad_fn=<AddmmBackward>)",1
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,"tensor(0.9726, grad_fn=<NllLossBackward>)","tensor([[0.2633, 0.7610]], grad_fn=<AddmmBackward>)",1,"tensor(0.6404, grad_fn=<NllLossBackward>)","tensor([[-0.0077, -0.1162]], grad_fn=<AddmmBackward>)",0,"tensor(0.9294, grad_fn=<NllLossBackward>)","tensor([[-0.0454,  0.3818]], grad_fn=<AddmmBackward>)",1
"On a positive note, our server was very attentive and provided great service.",1,"tensor(0.4334, grad_fn=<NllLossBackward>)","tensor([[0.1974, 0.8090]], grad_fn=<AddmmBackward>)",1,"tensor(0.7474, grad_fn=<NllLossBackward>)","tensor([[-0.0083, -0.1139]], grad_fn=<AddmmBackward>)",0,"tensor(0.5324, grad_fn=<NllLossBackward>)","tensor([[-0.1070,  0.2454]], grad_fn=<AddmmBackward>)",1
"Frozen pucks of disgust, with some of the worst people behind the register.",0,"tensor(0.9211, grad_fn=<NllLossBackward>)","tensor([[0.2662, 0.6796]], grad_fn=<AddmmBackward>)",1,"tensor(0.6447, grad_fn=<NllLossBackward>)","tensor([[ 0.0010, -0.0984]], grad_fn=<AddmmBackward>)",0,"tensor(0.9891, grad_fn=<NllLossBackward>)","tensor([[-0.0480,  0.4759]], grad_fn=<AddmmBackward>)",1
The only thing I did like was the prime rib and dessert section.,1,"tensor(0.4680, grad_fn=<NllLossBackward>)","tensor([[0.2346, 0.7509]], grad_fn=<AddmmBackward>)",1,"tensor(0.7487, grad_fn=<NllLossBackward>)","tensor([[-0.0134, -0.1216]], grad_fn=<AddmmBackward>)",0,"tensor(0.4545, grad_fn=<NllLossBackward>)","tensor([[-0.1816,  0.3710]], grad_fn=<AddmmBackward>)",1
It's too bad the food is so damn generic.,0,"tensor(0.9460, grad_fn=<NllLossBackward>)","tensor([[0.2934, 0.7478]], grad_fn=<AddmmBackward>)",1,"tensor(0.6305, grad_fn=<NllLossBackward>)","tensor([[-0.0090, -0.1385]], grad_fn=<AddmmBackward>)",0,"tensor(0.9328, grad_fn=<NllLossBackward>)","tensor([[-0.1055,  0.3273]], grad_fn=<AddmmBackward>)",1
"The burger is good beef, cooked just right.",1,"tensor(0.4246, grad_fn=<NllLossBackward>)","tensor([[0.1846, 0.8214]], grad_fn=<AddmmBackward>)",1,"tensor(0.7484, grad_fn=<NllLossBackward>)","tensor([[-0.0112, -0.1187]], grad_fn=<AddmmBackward>)",0,"tensor(0.5168, grad_fn=<NllLossBackward>)","tensor([[-0.1062,  0.2844]], grad_fn=<AddmmBackward>)",1
If you want a sandwich just go to any Firehouse!!!!!,1,"tensor(0.5205, grad_fn=<NllLossBackward>)","tensor([[0.2900, 0.6715]], grad_fn=<AddmmBackward>)",1,"tensor(0.7476, grad_fn=<NllLossBackward>)","tensor([[ 0.0096, -0.0965]], grad_fn=<AddmmBackward>)",0,"tensor(0.5365, grad_fn=<NllLossBackward>)","tensor([[-0.0594,  0.2830]], grad_fn=<AddmmBackward>)",1
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,"tensor(0.4388, grad_fn=<NllLossBackward>)","tensor([[0.2133, 0.8095]], grad_fn=<AddmmBackward>)",1,"tensor(0.7624, grad_fn=<NllLossBackward>)","tensor([[ 0.0012, -0.1327]], grad_fn=<AddmmBackward>)",0,"tensor(0.5022, grad_fn=<NllLossBackward>)","tensor([[-0.0413,  0.3859]], grad_fn=<AddmmBackward>)",1
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,"tensor(0.4886, grad_fn=<NllLossBackward>)","tensor([[0.2005, 0.6625]], grad_fn=<AddmmBackward>)",1,"tensor(0.7556, grad_fn=<NllLossBackward>)","tensor([[ 0.0082, -0.1131]], grad_fn=<AddmmBackward>)",0,"tensor(0.5044, grad_fn=<NllLossBackward>)","tensor([[-0.1852,  0.2364]], grad_fn=<AddmmBackward>)",1
He came running after us when he realized my husband had left his sunglasses on the table.,1,"tensor(0.5305, grad_fn=<NllLossBackward>)","tensor([[0.3545, 0.7115]], grad_fn=<AddmmBackward>)",1,"tensor(0.7441, grad_fn=<NllLossBackward>)","tensor([[-0.0170, -0.1164]], grad_fn=<AddmmBackward>)",0,"tensor(0.4340, grad_fn=<NllLossBackward>)","tensor([[-0.0381,  0.5718]], grad_fn=<AddmmBackward>)",1
Their chow mein is so good!,1,"tensor(0.5668, grad_fn=<NllLossBackward>)","tensor([[0.3664, 0.6374]], grad_fn=<AddmmBackward>)",1,"tensor(0.7378, grad_fn=<NllLossBackward>)","tensor([[-0.0052, -0.0927]], grad_fn=<AddmmBackward>)",0,"tensor(0.4885, grad_fn=<NllLossBackward>)","tensor([[-0.2447,  0.2175]], grad_fn=<AddmmBackward>)",1
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,"tensor(1.0036, grad_fn=<NllLossBackward>)","tensor([[0.1672, 0.7142]], grad_fn=<AddmmBackward>)",1,"tensor(0.6428, grad_fn=<NllLossBackward>)","tensor([[-0.0044, -0.1078]], grad_fn=<AddmmBackward>)",0,"tensor(1.0289, grad_fn=<NllLossBackward>)","tensor([[-0.0809,  0.5058]], grad_fn=<AddmmBackward>)",1
The portion was huge!,1,"tensor(0.7592, grad_fn=<NllLossBackward>)","tensor([[0.5167, 0.3886]], grad_fn=<AddmmBackward>)",0,"tensor(0.7374, grad_fn=<NllLossBackward>)","tensor([[-0.0012, -0.0877]], grad_fn=<AddmmBackward>)",0,"tensor(0.5101, grad_fn=<NllLossBackward>)","tensor([[-0.1724,  0.2348]], grad_fn=<AddmmBackward>)",1
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,"tensor(0.3954, grad_fn=<NllLossBackward>)","tensor([[0.1686, 0.8921]], grad_fn=<AddmmBackward>)",1,"tensor(0.7481, grad_fn=<NllLossBackward>)","tensor([[-0.0037, -0.1107]], grad_fn=<AddmmBackward>)",0,"tensor(0.5554, grad_fn=<NllLossBackward>)","tensor([[-0.2436,  0.0539]], grad_fn=<AddmmBackward>)",1
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,"tensor(0.7456, grad_fn=<NllLossBackward>)","tensor([[0.4107, 0.5130]], grad_fn=<AddmmBackward>)",1,"tensor(0.6445, grad_fn=<NllLossBackward>)","tensor([[-0.0341, -0.1339]], grad_fn=<AddmmBackward>)",0,"tensor(1.1113, grad_fn=<NllLossBackward>)","tensor([[-0.1840,  0.5281]], grad_fn=<AddmmBackward>)",1
Not much seafood and like 5 strings of pasta at the bottom.,0,"tensor(0.9137, grad_fn=<NllLossBackward>)","tensor([[0.2041, 0.6053]], grad_fn=<AddmmBackward>)",1,"tensor(0.6432, grad_fn=<NllLossBackward>)","tensor([[-0.0047, -0.1073]], grad_fn=<AddmmBackward>)",0,"tensor(0.9287, grad_fn=<NllLossBackward>)","tensor([[-0.0652,  0.3609]], grad_fn=<AddmmBackward>)",1
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,"tensor(0.4758, grad_fn=<NllLossBackward>)","tensor([[0.2454, 0.7408]], grad_fn=<AddmmBackward>)",1,"tensor(0.7499, grad_fn=<NllLossBackward>)","tensor([[-0.0039, -0.1143]], grad_fn=<AddmmBackward>)",0,"tensor(0.5178, grad_fn=<NllLossBackward>)","tensor([[-0.0849,  0.3032]], grad_fn=<AddmmBackward>)",1
"The ripped banana was not only ripped, but petrified and tasteless.",0,"tensor(0.8852, grad_fn=<NllLossBackward>)","tensor([[0.3586, 0.7116]], grad_fn=<AddmmBackward>)",1,"tensor(0.6364, grad_fn=<NllLossBackward>)","tensor([[-0.0068, -0.1237]], grad_fn=<AddmmBackward>)",0,"tensor(1.0442, grad_fn=<NllLossBackward>)","tensor([[-0.1496,  0.4607]], grad_fn=<AddmmBackward>)",1
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,"tensor(1.0216, grad_fn=<NllLossBackward>)","tensor([[0.2965, 0.8717]], grad_fn=<AddmmBackward>)",1,"tensor(0.6394, grad_fn=<NllLossBackward>)","tensor([[-0.0067, -0.1172]], grad_fn=<AddmmBackward>)",0,"tensor(0.9622, grad_fn=<NllLossBackward>)","tensor([[-0.1146,  0.3663]], grad_fn=<AddmmBackward>)",1
This place receives stars for their APPETIZERS!!!,1,"tensor(0.5228, grad_fn=<NllLossBackward>)","tensor([[0.3192, 0.6950]], grad_fn=<AddmmBackward>)",1,"tensor(0.7377, grad_fn=<NllLossBackward>)","tensor([[ 0.0008, -0.0863]], grad_fn=<AddmmBackward>)",0,"tensor(0.4949, grad_fn=<NllLossBackward>)","tensor([[-0.1536,  0.2923]], grad_fn=<AddmmBackward>)",1
The cocktails are all handmade and delicious.,1,"tensor(0.4513, grad_fn=<NllLossBackward>)","tensor([[0.2333, 0.7946]], grad_fn=<AddmmBackward>)",1,"tensor(0.7551, grad_fn=<NllLossBackward>)","tensor([[ 0.0014, -0.1189]], grad_fn=<AddmmBackward>)",0,"tensor(0.4765, grad_fn=<NllLossBackward>)","tensor([[-0.2280,  0.2655]], grad_fn=<AddmmBackward>)",1
We'd definitely go back here again.,1,"tensor(0.4844, grad_fn=<NllLossBackward>)","tensor([[0.2880, 0.7610]], grad_fn=<AddmmBackward>)",1,"tensor(0.7458, grad_fn=<NllLossBackward>)","tensor([[-0.0159, -0.1185]], grad_fn=<AddmmBackward>)",0,"tensor(0.4937, grad_fn=<NllLossBackward>)","tensor([[-0.0779,  0.3709]], grad_fn=<AddmmBackward>)",1
