Review,Liked,Bert_Loss,Bert_Logits,RoBerta_Loss,RoBerta_Logits
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,"tensor(0.6348, grad_fn=<NllLossBackward>)","tensor([[0.0221, 0.1424]], grad_fn=<AddmmBackward>)","tensor(0.7054, grad_fn=<NllLossBackward>)","tensor([[0.0672, 0.0428]], grad_fn=<AddmmBackward>)"
I was disgusted because I was pretty sure that was human hair.,0,"tensor(0.6853, grad_fn=<NllLossBackward>)","tensor([[0.0577, 0.0734]], grad_fn=<AddmmBackward>)","tensor(0.7216, grad_fn=<NllLossBackward>)","tensor([[0.0825, 0.0263]], grad_fn=<AddmmBackward>)"
I was shocked because no signs indicate cash only.,0,"tensor(0.7102, grad_fn=<NllLossBackward>)","tensor([[0.0713, 0.0375]], grad_fn=<AddmmBackward>)","tensor(0.7208, grad_fn=<NllLossBackward>)","tensor([[0.0825, 0.0279]], grad_fn=<AddmmBackward>)"
Highly recommended.,1,"tensor(0.7489, grad_fn=<NllLossBackward>)","tensor([[ 0.0944, -0.0142]], grad_fn=<AddmmBackward>)","tensor(0.7189, grad_fn=<NllLossBackward>)","tensor([[0.0756, 0.0246]], grad_fn=<AddmmBackward>)"
Waitress was a little slow in service.,0,"tensor(0.6656, grad_fn=<NllLossBackward>)","tensor([[0.0389, 0.0948]], grad_fn=<AddmmBackward>)","tensor(0.7191, grad_fn=<NllLossBackward>)","tensor([[0.0868, 0.0355]], grad_fn=<AddmmBackward>)"
"This place is not worth your time, let alone Vegas.",0,"tensor(0.6599, grad_fn=<NllLossBackward>)","tensor([[0.0053, 0.0730]], grad_fn=<AddmmBackward>)","tensor(0.7240, grad_fn=<NllLossBackward>)","tensor([[0.0789, 0.0181]], grad_fn=<AddmmBackward>)"
did not like at all.,0,"tensor(0.7359, grad_fn=<NllLossBackward>)","tensor([[0.1121, 0.0283]], grad_fn=<AddmmBackward>)","tensor(0.7172, grad_fn=<NllLossBackward>)","tensor([[0.0830, 0.0356]], grad_fn=<AddmmBackward>)"
The Burrittos Blah!,0,"tensor(0.5572, grad_fn=<NllLossBackward>)","tensor([[-0.0413,  0.2521]], grad_fn=<AddmmBackward>)","tensor(0.7061, grad_fn=<NllLossBackward>)","tensor([[0.0679, 0.0422]], grad_fn=<AddmmBackward>)"
"The food, amazing.",1,"tensor(0.6787, grad_fn=<NllLossBackward>)","tensor([[0.0304, 0.0594]], grad_fn=<AddmmBackward>)","tensor(0.7204, grad_fn=<NllLossBackward>)","tensor([[0.0753, 0.0216]], grad_fn=<AddmmBackward>)"
Service is also cute.,1,"tensor(0.6677, grad_fn=<NllLossBackward>)","tensor([[0.0039, 0.0554]], grad_fn=<AddmmBackward>)","tensor(0.7199, grad_fn=<NllLossBackward>)","tensor([[0.0810, 0.0281]], grad_fn=<AddmmBackward>)"
I could care less... The interior is just beautiful.,1,"tensor(0.7761, grad_fn=<NllLossBackward>)","tensor([[ 0.1223, -0.0373]], grad_fn=<AddmmBackward>)","tensor(0.7266, grad_fn=<NllLossBackward>)","tensor([[0.0897, 0.0240]], grad_fn=<AddmmBackward>)"
So they performed.,1,"tensor(0.7042, grad_fn=<NllLossBackward>)","tensor([[0.0639, 0.0419]], grad_fn=<AddmmBackward>)","tensor(0.7042, grad_fn=<NllLossBackward>)","tensor([[0.0680, 0.0460]], grad_fn=<AddmmBackward>)"
That's right....the red velvet cake.....ohhh this stuff is so good.,1,"tensor(0.7305, grad_fn=<NllLossBackward>)","tensor([[0.1048, 0.0314]], grad_fn=<AddmmBackward>)","tensor(0.7446, grad_fn=<NllLossBackward>)","tensor([[0.1151, 0.0147]], grad_fn=<AddmmBackward>)"
- They never brought a salad we asked for.,0,"tensor(0.6777, grad_fn=<NllLossBackward>)","tensor([[0.0935, 0.1246]], grad_fn=<AddmmBackward>)","tensor(0.7189, grad_fn=<NllLossBackward>)","tensor([[0.0865, 0.0356]], grad_fn=<AddmmBackward>)"
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,"tensor(0.6295, grad_fn=<NllLossBackward>)","tensor([[-0.0083,  0.1233]], grad_fn=<AddmmBackward>)","tensor(0.7292, grad_fn=<NllLossBackward>)","tensor([[0.0912, 0.0204]], grad_fn=<AddmmBackward>)"
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,"tensor(0.6799, grad_fn=<NllLossBackward>)","tensor([[0.0484, 0.0751]], grad_fn=<AddmmBackward>)","tensor(0.7178, grad_fn=<NllLossBackward>)","tensor([[0.0830, 0.0343]], grad_fn=<AddmmBackward>)"
The worst was the salmon sashimi.,0,"tensor(0.6264, grad_fn=<NllLossBackward>)","tensor([[0.0049, 0.1431]], grad_fn=<AddmmBackward>)","tensor(0.7210, grad_fn=<NllLossBackward>)","tensor([[0.0749, 0.0199]], grad_fn=<AddmmBackward>)"
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,"tensor(0.6554, grad_fn=<NllLossBackward>)","tensor([[0.0329, 0.1099]], grad_fn=<AddmmBackward>)","tensor(0.7240, grad_fn=<NllLossBackward>)","tensor([[0.0709, 0.0102]], grad_fn=<AddmmBackward>)"
This was like the final blow!,0,"tensor(0.5553, grad_fn=<NllLossBackward>)","tensor([[-0.1327,  0.1652]], grad_fn=<AddmmBackward>)","tensor(0.7059, grad_fn=<NllLossBackward>)","tensor([[0.0719, 0.0466]], grad_fn=<AddmmBackward>)"
I found this place by accident and I could not be happier.,1,"tensor(0.6805, grad_fn=<NllLossBackward>)","tensor([[0.0118, 0.0373]], grad_fn=<AddmmBackward>)","tensor(0.7405, grad_fn=<NllLossBackward>)","tensor([[0.1002, 0.0077]], grad_fn=<AddmmBackward>)"
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,"tensor(0.6576, grad_fn=<NllLossBackward>)","tensor([[0.0591, 0.1315]], grad_fn=<AddmmBackward>)","tensor(0.7192, grad_fn=<NllLossBackward>)","tensor([[0.0735, 0.0220]], grad_fn=<AddmmBackward>)"
"Overall, I like this place a lot.",1,"tensor(0.7483, grad_fn=<NllLossBackward>)","tensor([[1.0739e-01, 4.1172e-05]], grad_fn=<AddmmBackward>)","tensor(0.7328, grad_fn=<NllLossBackward>)","tensor([[0.0943, 0.0164]], grad_fn=<AddmmBackward>)"
The only redeeming quality of the restaurant was that it was very inexpensive.,1,"tensor(0.6648, grad_fn=<NllLossBackward>)","tensor([[0.0498, 0.1074]], grad_fn=<AddmmBackward>)","tensor(0.7283, grad_fn=<NllLossBackward>)","tensor([[0.0820, 0.0130]], grad_fn=<AddmmBackward>)"
Ample portions and good prices.,1,"tensor(0.7279, grad_fn=<NllLossBackward>)","tensor([[0.1154, 0.0470]], grad_fn=<AddmmBackward>)","tensor(0.7159, grad_fn=<NllLossBackward>)","tensor([[0.0712, 0.0262]], grad_fn=<AddmmBackward>)"
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,"tensor(0.6574, grad_fn=<NllLossBackward>)","tensor([[0.0294, 0.1021]], grad_fn=<AddmmBackward>)","tensor(0.7250, grad_fn=<NllLossBackward>)","tensor([[0.0864, 0.0237]], grad_fn=<AddmmBackward>)"
My first visit to Hiro was a delight!,1,"tensor(0.6503, grad_fn=<NllLossBackward>)","tensor([[-0.0005,  0.0872]], grad_fn=<AddmmBackward>)","tensor(0.7097, grad_fn=<NllLossBackward>)","tensor([[0.0710, 0.0381]], grad_fn=<AddmmBackward>)"
Service sucks.,0,"tensor(0.7041, grad_fn=<NllLossBackward>)","tensor([[0.0423, 0.0205]], grad_fn=<AddmmBackward>)","tensor(0.7055, grad_fn=<NllLossBackward>)","tensor([[0.0689, 0.0445]], grad_fn=<AddmmBackward>)"
The shrimp tender and moist.,1,"tensor(0.6313, grad_fn=<NllLossBackward>)","tensor([[0.0476, 0.1754]], grad_fn=<AddmmBackward>)","tensor(0.7283, grad_fn=<NllLossBackward>)","tensor([[0.0907, 0.0215]], grad_fn=<AddmmBackward>)"
There is not a deal good enough that would drag me into that establishment again.,0,"tensor(0.6111, grad_fn=<NllLossBackward>)","tensor([[-0.0066,  0.1647]], grad_fn=<AddmmBackward>)","tensor(0.7245, grad_fn=<NllLossBackward>)","tensor([[0.0809, 0.0191]], grad_fn=<AddmmBackward>)"
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,"tensor(0.6472, grad_fn=<NllLossBackward>)","tensor([[0.0310, 0.1250]], grad_fn=<AddmmBackward>)","tensor(0.7245, grad_fn=<NllLossBackward>)","tensor([[0.0925, 0.0307]], grad_fn=<AddmmBackward>)"
"On a positive note, our server was very attentive and provided great service.",1,"tensor(0.6809, grad_fn=<NllLossBackward>)","tensor([[0.0760, 0.1006]], grad_fn=<AddmmBackward>)","tensor(0.7264, grad_fn=<NllLossBackward>)","tensor([[0.0824, 0.0169]], grad_fn=<AddmmBackward>)"
"Frozen pucks of disgust, with some of the worst people behind the register.",0,"tensor(0.7101, grad_fn=<NllLossBackward>)","tensor([[0.1013, 0.0676]], grad_fn=<AddmmBackward>)","tensor(0.7107, grad_fn=<NllLossBackward>)","tensor([[0.0740, 0.0393]], grad_fn=<AddmmBackward>)"
The only thing I did like was the prime rib and dessert section.,1,"tensor(0.6773, grad_fn=<NllLossBackward>)","tensor([[0.0434, 0.0753]], grad_fn=<AddmmBackward>)","tensor(0.7269, grad_fn=<NllLossBackward>)","tensor([[0.0747, 0.0082]], grad_fn=<AddmmBackward>)"
It's too bad the food is so damn generic.,0,"tensor(0.6847, grad_fn=<NllLossBackward>)","tensor([[0.0303, 0.0473]], grad_fn=<AddmmBackward>)","tensor(0.7293, grad_fn=<NllLossBackward>)","tensor([[0.0883, 0.0173]], grad_fn=<AddmmBackward>)"
"The burger is good beef, cooked just right.",1,"tensor(0.6888, grad_fn=<NllLossBackward>)","tensor([[0.0749, 0.0835]], grad_fn=<AddmmBackward>)","tensor(0.7227, grad_fn=<NllLossBackward>)","tensor([[0.0733, 0.0151]], grad_fn=<AddmmBackward>)"
If you want a sandwich just go to any Firehouse!!!!!,1,"tensor(0.6532, grad_fn=<NllLossBackward>)","tensor([[0.0638, 0.1454]], grad_fn=<AddmmBackward>)","tensor(0.7066, grad_fn=<NllLossBackward>)","tensor([[0.0647, 0.0381]], grad_fn=<AddmmBackward>)"
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,"tensor(0.6735, grad_fn=<NllLossBackward>)","tensor([[0.0666, 0.1062]], grad_fn=<AddmmBackward>)","tensor(0.7273, grad_fn=<NllLossBackward>)","tensor([[0.0780, 0.0109]], grad_fn=<AddmmBackward>)"
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,"tensor(0.5765, grad_fn=<NllLossBackward>)","tensor([[-0.0244,  0.2244]], grad_fn=<AddmmBackward>)","tensor(0.7247, grad_fn=<NllLossBackward>)","tensor([[0.0832, 0.0210]], grad_fn=<AddmmBackward>)"
He came running after us when he realized my husband had left his sunglasses on the table.,1,"tensor(0.6060, grad_fn=<NllLossBackward>)","tensor([[-0.0066,  0.1761]], grad_fn=<AddmmBackward>)","tensor(0.7285, grad_fn=<NllLossBackward>)","tensor([[0.0947, 0.0251]], grad_fn=<AddmmBackward>)"
Their chow mein is so good!,1,"tensor(0.6299, grad_fn=<NllLossBackward>)","tensor([[-0.0224,  0.1084]], grad_fn=<AddmmBackward>)","tensor(0.7056, grad_fn=<NllLossBackward>)","tensor([[0.0680, 0.0432]], grad_fn=<AddmmBackward>)"
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,"tensor(0.6861, grad_fn=<NllLossBackward>)","tensor([[0.1006, 0.1147]], grad_fn=<AddmmBackward>)","tensor(0.7203, grad_fn=<NllLossBackward>)","tensor([[0.0738, 0.0202]], grad_fn=<AddmmBackward>)"
The portion was huge!,1,"tensor(0.5651, grad_fn=<NllLossBackward>)","tensor([[-0.1085,  0.1663]], grad_fn=<AddmmBackward>)","tensor(0.7041, grad_fn=<NllLossBackward>)","tensor([[0.0678, 0.0459]], grad_fn=<AddmmBackward>)"
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,"tensor(0.7348, grad_fn=<NllLossBackward>)","tensor([[0.1139, 0.0322]], grad_fn=<AddmmBackward>)","tensor(0.7246, grad_fn=<NllLossBackward>)","tensor([[0.0787, 0.0169]], grad_fn=<AddmmBackward>)"
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,"tensor(0.5881, grad_fn=<NllLossBackward>)","tensor([[0.0411, 0.2635]], grad_fn=<AddmmBackward>)","tensor(0.7248, grad_fn=<NllLossBackward>)","tensor([[0.0789, 0.0165]], grad_fn=<AddmmBackward>)"
Not much seafood and like 5 strings of pasta at the bottom.,0,"tensor(0.6504, grad_fn=<NllLossBackward>)","tensor([[-0.0080,  0.0794]], grad_fn=<AddmmBackward>)","tensor(0.7177, grad_fn=<NllLossBackward>)","tensor([[0.0770, 0.0285]], grad_fn=<AddmmBackward>)"
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,"tensor(0.6198, grad_fn=<NllLossBackward>)","tensor([[0.0025, 0.1550]], grad_fn=<AddmmBackward>)","tensor(0.7257, grad_fn=<NllLossBackward>)","tensor([[0.0839, 0.0199]], grad_fn=<AddmmBackward>)"
"The ripped banana was not only ripped, but petrified and tasteless.",0,"tensor(0.6341, grad_fn=<NllLossBackward>)","tensor([[0.0083, 0.1302]], grad_fn=<AddmmBackward>)","tensor(0.7187, grad_fn=<NllLossBackward>)","tensor([[0.0712, 0.0208]], grad_fn=<AddmmBackward>)"
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,"tensor(0.6731, grad_fn=<NllLossBackward>)","tensor([[0.0103, 0.0508]], grad_fn=<AddmmBackward>)","tensor(0.7236, grad_fn=<NllLossBackward>)","tensor([[0.0817, 0.0217]], grad_fn=<AddmmBackward>)"
This place receives stars for their APPETIZERS!!!,1,"tensor(0.6851, grad_fn=<NllLossBackward>)","tensor([[0.0424, 0.0585]], grad_fn=<AddmmBackward>)","tensor(0.7056, grad_fn=<NllLossBackward>)","tensor([[0.0738, 0.0490]], grad_fn=<AddmmBackward>)"
The cocktails are all handmade and delicious.,1,"tensor(0.7164, grad_fn=<NllLossBackward>)","tensor([[0.1059, 0.0600]], grad_fn=<AddmmBackward>)","tensor(0.7294, grad_fn=<NllLossBackward>)","tensor([[0.0859, 0.0148]], grad_fn=<AddmmBackward>)"
We'd definitely go back here again.,1,"tensor(0.6374, grad_fn=<NllLossBackward>)","tensor([[-0.0083,  0.1066]], grad_fn=<AddmmBackward>)","tensor(0.7201, grad_fn=<NllLossBackward>)","tensor([[0.0834, 0.0303]], grad_fn=<AddmmBackward>)"
We are so glad we found this place.,1,"tensor(0.6921, grad_fn=<NllLossBackward>)","tensor([[0.0752, 0.0773]], grad_fn=<AddmmBackward>)","tensor(0.7339, grad_fn=<NllLossBackward>)","tensor([[0.0987, 0.0189]], grad_fn=<AddmmBackward>)"
"Great food and service, huge portions and they give a military discount.",1,"tensor(0.6605, grad_fn=<NllLossBackward>)","tensor([[0.0629, 0.1293]], grad_fn=<AddmmBackward>)","tensor(0.7147, grad_fn=<NllLossBackward>)","tensor([[0.0738, 0.0311]], grad_fn=<AddmmBackward>)"
Always a great time at Dos Gringos!,1,"tensor(0.5958, grad_fn=<NllLossBackward>)","tensor([[-0.0469,  0.1584]], grad_fn=<AddmmBackward>)","tensor(0.7019, grad_fn=<NllLossBackward>)","tensor([[0.0655, 0.0481]], grad_fn=<AddmmBackward>)"
Update.....went back for a second time and it was still just as amazing,1,"tensor(0.6192, grad_fn=<NllLossBackward>)","tensor([[-0.0529,  0.1010]], grad_fn=<AddmmBackward>)","tensor(0.7104, grad_fn=<NllLossBackward>)","tensor([[0.0737, 0.0395]], grad_fn=<AddmmBackward>)"
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,"tensor(0.6640, grad_fn=<NllLossBackward>)","tensor([[0.0584, 0.1175]], grad_fn=<AddmmBackward>)","tensor(0.7263, grad_fn=<NllLossBackward>)","tensor([[0.0901, 0.0248]], grad_fn=<AddmmBackward>)"
A great way to finish a great.,1,"tensor(0.5970, grad_fn=<NllLossBackward>)","tensor([[-0.0506,  0.1519]], grad_fn=<AddmmBackward>)","tensor(0.7185, grad_fn=<NllLossBackward>)","tensor([[0.0806, 0.0306]], grad_fn=<AddmmBackward>)"
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,"tensor(0.6320, grad_fn=<NllLossBackward>)","tensor([[-0.0243,  0.1020]], grad_fn=<AddmmBackward>)","tensor(0.7254, grad_fn=<NllLossBackward>)","tensor([[0.0781, 0.0146]], grad_fn=<AddmmBackward>)"
"- Really, really good rice, all the time.",1,"tensor(0.6709, grad_fn=<NllLossBackward>)","tensor([[0.0407, 0.0857]], grad_fn=<AddmmBackward>)","tensor(0.7193, grad_fn=<NllLossBackward>)","tensor([[0.0869, 0.0353]], grad_fn=<AddmmBackward>)"
The service was meh.,0,"tensor(0.6015, grad_fn=<NllLossBackward>)","tensor([[-0.0207,  0.1717]], grad_fn=<AddmmBackward>)","tensor(0.7226, grad_fn=<NllLossBackward>)","tensor([[0.0787, 0.0206]], grad_fn=<AddmmBackward>)"
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,"tensor(0.6393, grad_fn=<NllLossBackward>)","tensor([[0.0298, 0.1404]], grad_fn=<AddmmBackward>)","tensor(0.7208, grad_fn=<NllLossBackward>)","tensor([[0.0861, 0.0316]], grad_fn=<AddmmBackward>)"
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,"tensor(0.7208, grad_fn=<NllLossBackward>)","tensor([[ 0.0484, -0.0061]], grad_fn=<AddmmBackward>)","tensor(0.7353, grad_fn=<NllLossBackward>)","tensor([[0.0966, 0.0140]], grad_fn=<AddmmBackward>)"
The scallop dish is quite appalling for value as well.,0,"tensor(0.6065, grad_fn=<NllLossBackward>)","tensor([[-0.0049,  0.1765]], grad_fn=<AddmmBackward>)","tensor(0.7243, grad_fn=<NllLossBackward>)","tensor([[0.0830, 0.0216]], grad_fn=<AddmmBackward>)"
2 times - Very Bad Customer Service !,0,"tensor(0.6430, grad_fn=<NllLossBackward>)","tensor([[-0.0152,  0.0876]], grad_fn=<AddmmBackward>)","tensor(0.7043, grad_fn=<NllLossBackward>)","tensor([[0.0706, 0.0485]], grad_fn=<AddmmBackward>)"
The sweet potato fries were very good and seasoned well.,1,"tensor(0.6794, grad_fn=<NllLossBackward>)","tensor([[0.0960, 0.1237]], grad_fn=<AddmmBackward>)","tensor(0.7231, grad_fn=<NllLossBackward>)","tensor([[0.0837, 0.0247]], grad_fn=<AddmmBackward>)"
Today is the second time I've been to their lunch buffet and it was pretty good.,1,"tensor(0.7384, grad_fn=<NllLossBackward>)","tensor([[0.1409, 0.0524]], grad_fn=<AddmmBackward>)","tensor(0.7443, grad_fn=<NllLossBackward>)","tensor([[0.1070, 0.0071]], grad_fn=<AddmmBackward>)"
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,"tensor(0.6692, grad_fn=<NllLossBackward>)","tensor([[0.0791, 0.1276]], grad_fn=<AddmmBackward>)","tensor(0.7291, grad_fn=<NllLossBackward>)","tensor([[0.0847, 0.0141]], grad_fn=<AddmmBackward>)"
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,"tensor(0.6590, grad_fn=<NllLossBackward>)","tensor([[0.0298, 0.0993]], grad_fn=<AddmmBackward>)","tensor(0.7214, grad_fn=<NllLossBackward>)","tensor([[0.0756, 0.0199]], grad_fn=<AddmmBackward>)"
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,"tensor(0.7346, grad_fn=<NllLossBackward>)","tensor([[0.1243, 0.0431]], grad_fn=<AddmmBackward>)","tensor(0.7345, grad_fn=<NllLossBackward>)","tensor([[0.0945, 0.0134]], grad_fn=<AddmmBackward>)"
The turkey and roast beef were bland.,0,"tensor(0.7012, grad_fn=<NllLossBackward>)","tensor([[0.0790, 0.0630]], grad_fn=<AddmmBackward>)","tensor(0.7276, grad_fn=<NllLossBackward>)","tensor([[0.0808, 0.0129]], grad_fn=<AddmmBackward>)"
This place has it!,1,"tensor(0.6416, grad_fn=<NllLossBackward>)","tensor([[-0.0712,  0.0346]], grad_fn=<AddmmBackward>)","tensor(0.7062, grad_fn=<NllLossBackward>)","tensor([[0.0718, 0.0459]], grad_fn=<AddmmBackward>)"
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,"tensor(0.6886, grad_fn=<NllLossBackward>)","tensor([[0.0722, 0.0813]], grad_fn=<AddmmBackward>)","tensor(0.7188, grad_fn=<NllLossBackward>)","tensor([[0.0780, 0.0273]], grad_fn=<AddmmBackward>)"
I love the Pho and the spring rolls oh so yummy you have to try.,1,"tensor(0.6612, grad_fn=<NllLossBackward>)","tensor([[0.0214, 0.0863]], grad_fn=<AddmmBackward>)","tensor(0.7289, grad_fn=<NllLossBackward>)","tensor([[0.0902, 0.0200]], grad_fn=<AddmmBackward>)"
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,"tensor(0.7002, grad_fn=<NllLossBackward>)","tensor([[0.0871, 0.0731]], grad_fn=<AddmmBackward>)","tensor(0.7257, grad_fn=<NllLossBackward>)","tensor([[0.0819, 0.0178]], grad_fn=<AddmmBackward>)"
All I have to say is the food was amazing!!!,1,"tensor(0.6772, grad_fn=<NllLossBackward>)","tensor([[0.0047, 0.0369]], grad_fn=<AddmmBackward>)","tensor(0.7031, grad_fn=<NllLossBackward>)","tensor([[0.0687, 0.0489]], grad_fn=<AddmmBackward>)"
Omelets are to die for!,1,"tensor(0.6315, grad_fn=<NllLossBackward>)","tensor([[-0.0104,  0.1170]], grad_fn=<AddmmBackward>)","tensor(0.7036, grad_fn=<NllLossBackward>)","tensor([[0.0717, 0.0510]], grad_fn=<AddmmBackward>)"
Everything was fresh and delicious!,1,"tensor(0.6843, grad_fn=<NllLossBackward>)","tensor([[0.0273, 0.0451]], grad_fn=<AddmmBackward>)","tensor(0.7035, grad_fn=<NllLossBackward>)","tensor([[0.0676, 0.0470]], grad_fn=<AddmmBackward>)"
"In summary, this was a largely disappointing dining experience.",0,"tensor(0.6907, grad_fn=<NllLossBackward>)","tensor([[0.0766, 0.0815]], grad_fn=<AddmmBackward>)","tensor(0.7208, grad_fn=<NllLossBackward>)","tensor([[0.0756, 0.0209]], grad_fn=<AddmmBackward>)"
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,"tensor(0.6759, grad_fn=<NllLossBackward>)","tensor([[0.0119, 0.0467]], grad_fn=<AddmmBackward>)","tensor(0.7169, grad_fn=<NllLossBackward>)","tensor([[0.0773, 0.0303]], grad_fn=<AddmmBackward>)"
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,"tensor(0.7599, grad_fn=<NllLossBackward>)","tensor([[ 0.1043, -0.0249]], grad_fn=<AddmmBackward>)","tensor(0.7075, grad_fn=<NllLossBackward>)","tensor([[0.0670, 0.0384]], grad_fn=<AddmmBackward>)"
Best breakfast buffet!!!,1,"tensor(0.7528, grad_fn=<NllLossBackward>)","tensor([[ 0.0743, -0.0417]], grad_fn=<AddmmBackward>)","tensor(0.7028, grad_fn=<NllLossBackward>)","tensor([[0.0712, 0.0520]], grad_fn=<AddmmBackward>)"
say bye bye to your tip lady!,0,"tensor(0.5276, grad_fn=<NllLossBackward>)","tensor([[-0.1075,  0.2566]], grad_fn=<AddmmBackward>)","tensor(0.7042, grad_fn=<NllLossBackward>)","tensor([[0.0674, 0.0455]], grad_fn=<AddmmBackward>)"
