sentence,label
an already thin story boils down to surviving invaders seeking an existent anti-virus . ,0
with fewer gags to break the tedium ,0
overbearing and ,0
deep deceptions ,0
"hampered -- no , paralyzed -- by a self-indulgent script ... ",0
is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . ,0
which nurses plot holes gaping enough to pilot an entire olympic swim team through ,0
a bad blend ,0
excruciatingly unfunny and pitifully unromantic . ,0
war movies ,0
the cliché-laden screenplay ,0
"girlfriends are bad , wives are worse ",0
", and as easy to be bored by as your abc 's , ",0
ransacks ,0
lacks the charisma and ability to carry the film on his admittedly broad shoulders . ,0
book report ,0
leave the theater ,0
spousal abuse ,0
"the director , with his fake backdrops and stately pacing , ",0
anyone who suffers through this film ,0
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ",0
it 'll probably be in video stores by christmas ,0
underachiever ,0
dime-store ruminations ,0
", reality shows -- reality shows for god 's sake ! ",0
"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ",0
'll cry for your money back ,0
"is worse : the part where nothing 's happening , or the part where something 's happening ",0
"like max rothman 's future , does not work . ",0
"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ",0
bad run ,0
may just end up trying to drown yourself in a lake afterwards . ,0
"at this time , with this cast , this movie is hopeless ",0
time bombs ,0
the surface histrionics failing to compensate for the paper-thin characterizations and facile situations ,0
"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ",0
a sour taste in one 's mouth ,0
"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . ",0
responsible for one of the worst movies of one year ,0
"appalling , shamelessly manipulative and contrived ",0
human darkness ,0
"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ",0
it 's too loud to shout insults at the screen ,0
"'s a long way from orwell 's dark , intelligent warning cry ( 1984 ) ",0
ardently waste viewers ' time with a gobbler like this ,0
see how many times they can work the words `` radical '' or `` suck '' into a sentence ,0
a doubt ,0
maudlin or ,0
a party-hearty teen flick that scalds like acid . ,0
"the wan , thinly sketched story ",0
this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in . ,0
failure to construct a story with even a trace of dramatic interest ,0
but it also comes with the laziness and arrogance of a thing that already knows it 's won . ,0
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni . ",0
", future lizard endeavors will need to adhere more closely to the laws of laughter ",0
a philosophical void ,0
unlikable characters and a self-conscious sense ,0
hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,0
hopelessly juvenile ,0
required to give this comic slugfest some heart ,0
feel more like a non-stop cry for attention ,0
feel more like literary conceits than flesh-and-blood humans ,0
no explanation ,0
"a chilly , remote , emotionally distant piece ... so dull that its tagline should be ",0
a bargain-basement european pickup ,0
"it 's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it 's just grating . ",0
"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",0
"is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own ",0
"it lacks the compassion , good-natured humor and the level of insight that made ( eyre 's ) first film something of a sleeper success . ",0
obscenely bad ,0
devastatingly ,0
i do n't see the point ,0
comes off like a bad imitation of the bard ,0
stiff or just plain bad ,0
has no point ,0
of isolation and frustration ,0
"of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ",0
that there 's no other reason why anyone should bother remembering it ,0
father cliché ,0
domestic tension and unhappiness ,0
"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable ",0
inexpressible and drab wannabe ,0
"the hail of bullets , none of which ever seem to hit ",0
"'s about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ",0
to hate ,0
turned down ,0
undramatic ,0
the pile of useless actioners ,0
does not work . ,0
it is n't merely offensive ,0
the film goes right over the edge and kills every sense of believability ,0
"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ",0
emotional seesawing ,0
target audience has n't graduated from junior high school ,0
the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire ,0
a pretty listless collection ,0
have been called freddy gets molested by a dog ,0
moody male hustler ,0
uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels ,0
which is mostly a bore ,0
suspect that you 'll be as bored watching morvern callar as the characters are in it . ,0
"... the efforts of its star , kline , to lend some dignity to a dumb story are for naught . ",0
flat as the scruffy sands of its titular community ,0
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ",0
"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead . ",0
"the intimate , unguarded moments of folks who live in unusual homes -- ",0
"( i ) t 's certainly laudable that the movie deals with hot-button issues in a comedic context , but barbershop is n't as funny as it should be . ",0
that the only rip off that we were aware of ,0
no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time ,0
's that painful . ,0
american beauty reeks ,0
"clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long ",0
without any of its sense of fun or energy ,0
"'s simply stupid , irrelevant and deeply ",0
an all-time low ,0
is shockingly bad and absolutely unnecessary . ,0
"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood . ",0
low on both suspense and payoff ,0
would tax einstein 's brain . ,0
's its first sign of trouble ,0
ca n't believe anyone would really buy this stuff ,0
if ever such a dependable concept was botched in execution ,0
wedding feels a bit anachronistic . ,0
been lost in the translation this time ,0
the pianist like a surgeon mends a broken heart ; very meticulously but without any passion ,0
remains oddly detached ,0
go down with a ship as leaky ,0
"make the film more silly than scary , like some sort of martha stewart decorating program run amok ",0
a lazy exercise in bad filmmaking ,0
this thing is virtually unwatchable . ,0
would ever work in a mcculloch production again if they looked at how this movie turned out ,0
exaggerated and ,0
"takes a really long , slow and dreary time ",0
humorless ,0
bite ,0
amounts to little more than punishment . ,0
makes piecing the story together frustrating difficult ,0
the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence ,0
grotesque narcissism ,0
it wore me down ,0
be so stupid ,0
what we get in feardotcom is more like something from a bad clive barker movie . ,0
from the clumsy cliché of the ugly american ,0
the passive-aggressive psychology of co-dependence ,0
does not live up to its style ,0
"first , for a movie that tries to be smart , it 's kinda dumb . ",0
worst sense ,0
"human nature is a goofball movie , in the way that malkovich was , but it tries too hard ",0
overplayed ,0
should be poignant ,0
kirshner and monroe seem to be in a contest to see who can out-bad-act the other . ,0
mug shots ,0
the barbarism of ` ethnic cleansing ,0
haute ,0
ugly and ,0
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility . ,0
"the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name ",0
"'ve had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama . ",0
well to cram earplugs ,0
who is simply tired ,0
"it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally get under your skin ",0
emaciated flick ,0
"jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects ",0
point at things that explode into flame ,0
has n't escaped the rut dug by the last one ,0
an unsuccessful attempt at a movie ,0
sometimes confusing ,0
a soap-opera quality twist in the last 20 minutes ... almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination . ,0
to change hackneyed concepts when it comes to dreaming up romantic comedies ,0
the folly of superficiality that is itself ,0
lumbering load ,0
a 95-minute commercial for nba properties ,0
though many of these guys are less than adorable ,0
is deadly dull ,0
inferior ,0
"loud , ugly , irritating movie ",0
"lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ",0
impossible task ,0
lack their idol 's energy and passion for detail ,0
somehow snagged an oscar nomination ,0
the satire is just too easy to be genuinely satisfying . ,0
neither is it as smart ,0
"time literally stops on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life ",0
"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were . ",0
'n safe as to often play like a milquetoast movie of the week blown up for the big screen ,0
aims for poetry and ends up sounding like satire ,0
come close to the level of intelligence and visual splendor that can be seen in other films ,0
is it hokey ,0
as assaults on america 's knee-jerk moral sanctimony ,0
that 's hardly any fun to watch ,0
from kevin kline who unfortunately works with a two star script ,0
"change watching such a character , especially when rendered in as flat and ",0
i do n't think so . ,0
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking ",0
"great to see this turd squashed under a truck , preferably a semi ",0
"bile , and irony ",0
"a faulty premise , ",0
haphazardness ,0
"the plot grows thin soon , ",0
crossing-over mumbo jumbo ,0
virtually unwatchable ,0
who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ,0
heavy with flabby rolls of typical toback machinations . ,0
"pitiful , slapdash disaster . ",0
crippled ,0
this piece of crap ,0
miserable and smug ,0
"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense . ",0
down the reality drain ,0
"the only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers . ",0
a historic scandal ,0
"idea ( of middle-aged romance ) is not handled well and , except for the fine star performances ",0
their lamentations are pretty much self-centered ,0
would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head ,0
a documentary fails to live up to -- or offer any new insight into -- its chosen topic ,0
insistent and repetitive ,0
nausea ,0
no art ,0
seems to exist only for its climactic setpiece ,0
more silly than scary ,0
you wish you were at home watching that movie instead of in the theater watching this one ,0
's no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance ,0
underdeveloped ,0
the jokes are flat ,0
do we really need the tiger beat version ? ,0
the disadvantage of also looking cheap ,0
churn out one mediocre movie after another ,0
"this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian . ",0
"cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and japanese names ",0
then just fell apart ,0
"despite its dry wit and compassion , the film suffers from a philosophical emptiness and maddeningly sedate pacing . ",0
is awful . ,0
like `` horrible '' and `` terrible ,0
is off-putting ,0
gets bogged down over 140 minutes . ,0
a pack of dogs who are smarter than him ,0
this film biggest problem ? ,0
it 's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay . ,0
"are the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ",0
it plainly has no business going ,0
stereotypical caretakers ,0
waster ' ,0
no place for this story to go but down ,0
are credited with the cliché-laden screenplay ,0
"flat , ",0
much of what 's on saturday morning tv especially the pseudo-educational stuff we all ca n't stand ,0
"muddled , simplistic and more than a little pretentious . ",0
than losers ,0
comedy that takes an astonishingly condescending attitude toward women ,0
"flashy , overlong soap ",0
by no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act ,0
"begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ",0
", dopey old ",0
"the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears ",0
"trouble every day is a success in some sense , but it 's hard to like a film so cold and dead ",0
quickly becomes a tiresome cliché ,0
be completely forgettable ,0
"low-brow humor , gratuitous violence ",0
a bland animated sequel ,0
"a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino 's climactic shootout -- and ",0
trouble every day is a plodding mess . ,0
to be consumed and forgotten ,0
", the screenplay by billy ray and terry george leaves something to be desired . ",0
its one-sidedness ,0
uneven film ,0
"is n't heated properly , so that it ends up ",0
tried as a war criminal ,0
to make such a worthless film ,0
devoid of any of the qualities that made the first film so special . ,0
a waterlogged version of ` fatal attraction ' for the teeny-bopper set ... ,0
what a reckless squandering ,0
"like one long , meandering sketch inspired by the works of john waters and todd solondz , rather than a fully developed story ",0
"by the ensemble cast , the flat dialogue by vincent r. nebrida or the gutless direction by laurice guillen ",0
time-consuming ,0
is n't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own ,0
"a little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding serves mostly to whet one 's appetite for the bollywood films . ",0
"the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake ",0
the film 's desire to be liked sometimes undermines the possibility for an exploration of the thornier aspects of the nature/nurture argument in regards to homosexuality . ,0
"everything 's serious , poetic , earnest and -- sadly -- dull . ",0
of anti-semitism ever seen on screen ,0
ends with a story that is so far-fetched it would be impossible to believe if it were n't true ,0
questionable ,0
gaps in their relationships ,0
"we 've seen the hippie-turned-yuppie plot before , but ",0
it 's supposed to be a romantic comedy - it suffers from too much norma rae and not enough pretty woman . ,0
badly edited ,0
run out of clever ideas and visual gags about halfway through ,0
i am baffled by jason x. ,0
is not first-rate ,0
comes across as a fairly weak retooling . ,0
"conventional -- lots of boring talking heads , etc. -- to do the subject matter justice ",0
blab ,0
is standard crime drama fare ... instantly forgettable and thoroughly dull . ,0
"has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler ",0
and a terrible story ,0
's that painful ,0
"a zippy 96 minutes of mediocre special effects , hoary dialogue , fluxing accents , and -- worst of all -- silly-looking morlocks . ",0
"of logic and misuse of two fine actors , morgan freeman and ashley judd ",0
", the grey zone attempts to be grandiloquent , but ends up merely pretentious -- in a grisly sort of way . ",0
"what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else . ",0
an uninspired preachy and clichéd war film . ,0
it 's the worst movie i 've seen this summer ,0
"one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio ",0
( seagal 's ) strenuous attempt at a change in expression ,0
"promisingly but disintegrates into a dreary , humorless soap opera . ",0
in a grisly sort of way ,0
nothing going for it other than its exploitive array of obligatory cheap ,0
more frustrating ,0
lacks both a purpose and a strong pulse ,0
of sleaziness ,0
"this too-long , spoofy update ",0
shoddy male hip hop fantasy ,0
", cynical ",0
like puppies with broken legs ,0
knock back a beer with but they 're simply not funny performers ,0
just is n't as weird as it ought to be . ,0
as if by cattle prod ,0
struggling ,0
all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s . ,0
dreadfulness ,0
it 's not very interesting . ,0
out ,0
"it does n't take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that . ",0
humor in i spy is so anemic . ,0
the by now intolerable morbidity ,0
it would fit chan like a $ 99 bargain-basement special . ,0
"seem tired and , ",0
one of the saddest action hero performances ever witnessed ,0
help overcome the problematic script . ,0
"as underwater ghost stories go , below casts its spooky net out into the atlantic ocean and spits it back , grizzled and charred , somewhere northwest of the bermuda triangle . ",0
drowned me ,0
a movie character more unattractive or odorous ( than leon ) ,0
"haneke 's script ( from elfriede jelinek 's novel ) is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending . ",0
", scoob and shag do n't eat enough during the film . ' ",0
a screwed-up man ,0
rumblings ,0
lightweight filmmaking ,0
"is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound . ",0
hackneyed concepts ,0
"remarkably fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) ",0
wickedly undramatic ,0
"an evil , monstrous lunatic ",0
excruciatingly tedious ,0
beyond redemption ,0
sleep-inducing ,0
never rises above mediocrity ,0
farts ,0
've seen the hippie-turned-yuppie plot before ,0
"patchy combination of soap opera , low-tech magic realism and , at times , ploddingly sociological commentary . ",0
hackneyed and meanspirited ,0
"the film does n't have enough innovation or pizazz to attract teenagers , and ",0
"mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service . ",0
the unacceptable ,0
"violent , vulgar and forgettably entertaining . ",0
shockingly bad ,0
run of the mill ,0
is n't a very ,0
"is cruel , misanthropic stuff with only weak claims to surrealism and black comedy . ",0
spies ,0
"4ever has the same sledgehammer appeal as pokemon videos , ",0
the writing and direction to the soggy performances ,0
unfunny ,0
"plodding , peevish and gimmicky . ",0
straight from the saturday morning cartoons ,0
least ,0
"thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except ",0
dying a slow death ,0
"lack contrast , are murky and are frequently too dark to be decipherable . ",0
"under the skin of a man we only know as an evil , monstrous lunatic ",0
especially the pseudo-educational stuff we all ca n't stand ,0
vaporize from your memory minutes ,0
decrepit ,0
two guys yelling in your face for two hours ,0
"cold , sterile and lacking any color or warmth ",0
is not handled well ,0
suffocating ,0
stink ,0
the milieu is wholly unconvincing ... and the histrionics reach a truly annoying pitch ,0
"( or role , or edit , or score , or anything , really ",0
in a standard plot ,0
b movies ,0
be one of those movies barely registering a blip on the radar screen of 2002 ,0
for pretentious arts majors ,0
reek of a script ,0
bottom tier ,0
"a screenplay that forces them into bizarre , implausible behavior ",0
of this dog of a movie ,0
too bad kramer could n't make a guest appearance to liven things up . ,0
plays like a bad blend of an overripe episode of tv 's dawson 's creek and a recycled and dumbed-down version of love story . ,0
yet depressing film ,0
descends into such message-mongering moralism ,0
fall fast asleep ,0
virtually no aftertaste ,0
inane and unimaginative ,0
self-absorbed ,0
intolerable company ,0
"talky , artificial and opaque ",0
underneath such a mountain of clichés and borrowed images ,0
"falsehoods pile up , undermining the movie 's reality and stifling its creator 's comic voice . ",0
convincing as this bland blank of a man with unimaginable demons ,0
is too long with too little going on ,0
you can smell the grease on the plot ,0
human impulses that grew hideously twisted ,0
"this is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged ",0
often overwritten ,0
nearly impossible ,0
offers no new insight on the matter ,0
tastelessness and gall ,0
bad action-movie line ,0
"contrived , unmotivated , and psychologically unpersuasive ",0
the film is way too full of itself ; it 's stuffy and pretentious in a give-me-an-oscar kind of way ,0
any true emotional connection or identification frustratingly ,0
of run-of-the-mill profanity ,0
feel like three hours . ,0
"is confusing on one level or another , making ararat far more demanding than it needs to be ",0
laughably ,0
"of bland hotels , highways , parking lots ",0
